CustomerID,Sex,Age,Annual_Income,Spending_Score,Purchase_Frequency
1,Male,68,132.4,47,21
2,Female,64,114.5,63,47
3,Male,64,82.6,19,2
4,Male,21,92.3,91,46
5,Male,24,33.5,9,35
6,Female,62,141.6,37,28
7,Male,52,62.5,92,36
8,Male,65,75.2,52,31
9,Male,26,105.7,57,33
10,Female,25,60.1,88,23
11,Male,69,49.3,28,41
12,Male,62,100.2,36,17
13,Male,34,18.4,64,46
14,Male,34,112.3,18,49
15,Female,66,84.4,89,1
16,Male,50,96.8,35,42
17,Female,49,100.3,68,23
18,Female,25,86.2,78,48
19,Female,36,93.6,39,27
20,Male,55,107.3,90,25
21,Female,20,116.7,8,32
22,Male,22,113.2,88,19
23,Female,30,132.4,80,24
24,Female,64,40.6,84,3
25,Female,63,69.2,15,12
26,Female,48,143.0,7,35
27,Female,33,68.5,17,15
28,Female,67,31.9,86,17
29,Female,49,85.9,86,32
30,Female,39,29.8,64,7
31,Male,46,42.4,12,19
32,Male,39,149.8,82,7
33,Female,60,88.1,56,5
34,Female,20,53.3,46,40
35,Female,27,149.3,47,21
36,Male,59,145.5,79,48
37,Female,38,74.5,16,48
38,Male,33,50.2,69,47
39,Male,29,128.2,2,7
40,Male,19,111.6,92,37
41,Male,58,107.7,54,23
42,Male,41,135.6,27,11
43,Female,52,108.1,31,10
44,Female,47,53.3,41,21
45,Female,47,108.7,36,41
46,Female,64,56.3,47,33
47,Female,52,117.5,43,20
48,Male,36,98.7,65,33
49,Female,67,25.5,50,40
50,Female,25,84.2,93,35
51,Male,43,61.3,1,34
52,Female,66,59.4,72,36
53,Male,57,96.3,57,27
54,Female,24,58.5,16,19
55,Male,47,119.9,28,43
56,Female,24,24.6,86,5
57,Female,20,104.2,82,29
58,Male,18,124.2,22,10
59,Male,53,105.8,41,40
60,Male,42,82.1,76,13
61,Male,54,143.3,19,29
62,Male,18,55.5,89,5
63,Male,32,17.6,50,12
64,Male,54,73.3,59,13
65,Male,30,19.5,69,22
66,Female,57,143.8,34,40
67,Female,25,43.3,39,15
68,Male,22,121.5,74,13
69,Female,26,119.6,7,1
70,Female,18,44.4,52,38
71,Female,53,98.9,60,43
72,Female,52,21.5,52,45
73,Male,19,80.3,79,1
74,Female,57,17.0,24,11
75,Male,40,139.4,26,43
76,Female,26,146.8,90,40
77,Female,51,45.0,90,22
78,Female,63,43.1,10,35
79,Male,31,116.8,17,44
80,Female,21,49.2,78,6
81,Male,47,135.8,2,28
82,Female,48,92.5,77,31
83,Male,55,62.4,27,8
84,Female,28,127.4,73,5
85,Male,52,81.6,71,42
86,Male,25,138.1,48,48
87,Female,20,140.3,74,44
88,Male,31,37.3,9,17
89,Female,30,15.3,86,38
90,Female,62,147.8,23,9
91,Female,49,137.3,71,10
92,Female,51,22.5,73,20
93,Female,62,127.5,27,14
94,Female,36,76.8,88,14
95,Female,55,50.0,93,26
96,Female,33,133.6,81,29
97,Female,19,41.6,84,49
98,Female,57,142.9,71,27
99,Female,34,42.8,43,25
100,Male,51,97.8,7,16
101,Male,59,45.1,92,36
102,Female,33,88.7,83,34
103,Female,55,107.3,63,16
104,Female,19,40.7,84,33
105,Female,19,85.3,44,3
106,Female,43,78.3,39,23
107,Female,30,24.6,40,11
108,Female,64,125.5,7,48
109,Female,48,60.3,70,18
110,Male,51,92.6,25,47
111,Female,56,84.5,59,41
112,Male,20,84.3,13,44
113,Female,25,29.5,86,29
114,Female,40,72.2,81,5
115,Male,31,76.1,86,24
116,Female,44,114.0,98,29
117,Male,46,128.4,62,29
118,Female,56,88.6,8,26
119,Female,56,26.7,45,40
120,Male,18,47.0,18,3
121,Female,34,37.3,88,2
122,Male,58,31.8,60,25
123,Female,47,64.4,60,19
124,Male,30,46.0,2,40
125,Male,38,44.5,66,2
126,Female,36,22.4,91,19
127,Female,36,17.4,14,1
128,Male,42,28.9,48,27
129,Female,39,38.2,56,45
130,Female,48,73.2,12,49
131,Female,34,83.9,96,35
132,Male,40,34.0,92,41
133,Male,49,72.3,55,5
134,Male,27,61.1,28,38
135,Male,27,39.8,89,4
136,Male,53,15.9,4,17
137,Male,25,78.0,90,21
138,Male,69,107.6,36,48
139,Male,37,45.5,50,31
140,Male,49,32.8,3,48
141,Female,67,134.8,1,22
142,Male,31,52.1,17,11
143,Female,67,45.2,71,34
144,Female,45,130.7,62,49
145,Female,63,125.3,48,15
146,Male,69,75.5,62,10
147,Male,41,81.0,69,38
148,Male,32,44.4,19,32
149,Male,39,25.6,34,48
150,Female,47,92.4,99,31
151,Male,21,28.3,49,37
152,Male,30,75.7,80,44
153,Male,40,142.0,47,28
154,Male,25,143.6,91,31
155,Male,35,47.3,50,6
156,Female,29,99.3,89,14
157,Male,48,79.0,26,23
158,Female,31,133.2,56,16
159,Male,51,51.6,78,25
160,Female,35,15.5,14,39
161,Male,51,36.9,78,2
162,Male,28,62.2,25,38
163,Female,58,57.6,4,41
164,Female,29,121.8,79,39
165,Female,66,106.9,32,34
166,Male,32,55.4,82,40
167,Female,48,76.8,78,43
168,Male,66,27.9,65,25
